 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.515786271031614     ,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.343451209373083     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =  -0.515786271031614     
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.2015982303854852E+00  -0.4562815382264009-118  -0.7283205331895330E+00           200            13  -0.27630812E+03
 -0.1995822480816304E+00  -0.4736992281408169-118  -0.7321064105922286E+00           200            13  -0.27630941E+03
 -0.1975864256008140E+00  -0.4920376061944612-118  -0.7358846335184868E+00           200            13  -0.27631009E+03
 -0.1956105613448059E+00   0.7774876618483093E-15  -0.7396552332569865E+00           200            13  -0.38724898E+02
 -0.1936544557313578E+00   0.5305357915944829-118  -0.7434182409294179E+00           200            13  -0.27631184E+03
 -0.1917179111740443E+00   0.5504989471190096-118  -0.7471736874914499E+00           200            13  -0.27631331E+03
 -0.1898007320623038E+00  -0.7045009070566866E-15  -0.7509216037336744E+00           200            13  -0.38938708E+02
 -0.1879027247416808E+00  -0.5925159843329336-118  -0.7546620202827261E+00           200            13  -0.27631633E+03
 -0.1860236974942640E+00   0.6155217202766376-118  -0.7583949676022350E+00           200            13  -0.27631640E+03
 -0.1841634605193213E+00  -0.6398176664603042-118  -0.7621204759937976E+00           200            13  -0.27631576E+03
 -0.1823218259141281E+00   0.6656923829815809-118  -0.7658385755979500E+00           200            13  -0.27631412E+03
 -0.1804986076549868E+00   0.7284048945363541-118  -0.7695492963951220E+00           200            14  -0.27630824E+03
 -0.1786936215784370E+00   0.3444852290246362E-14  -0.7732526682067686E+00           200            14  -0.36023723E+02
 -0.1769066853626526E+00   0.7861053779685271-118  -0.7769487206961994E+00           200            14  -0.27631046E+03
 -0.1751376185090261E+00  -0.8163696937004236-118  -0.7806374833693934E+00           200            14  -0.27631179E+03
 -0.1733862423239358E+00  -0.8496294737245186-118  -0.7843189855764314E+00           200            14  -0.27631088E+03
 -0.1716523799006965E+00   0.8818849861878866-118  -0.7879932565117964E+00           200            14  -0.27631256E+03
 -0.1699358561016895E+00  -0.9192202795978387-118  -0.7916603252158998E+00           200            14  -0.27630996E+03
 -0.1682364975406726E+00  -0.9512678358951620-118  -0.7953202205755125E+00           200            14  -0.27631447E+03
 -0.1665541325652659E+00   0.5266465405942939E-15  -0.7989729713253065E+00           200            14  -0.39778177E+02
 -0.1648885912396132E+00   0.1025898739266130-117  -0.8026186060480296E+00           200            14  -0.27631627E+03
 -0.1632397053272171E+00   0.1065335086333100-117  -0.8062571531760947E+00           200            14  -0.27631710E+03
 -0.1616073082739449E+00  -0.1109392163868700-117  -0.8098886409920094E+00           200            14  -0.27631504E+03
 -0.1599912351912054E+00   0.1154518873753376-117  -0.8135130976295946E+00           200            14  -0.27631356E+03
 -0.1583913228392934E+00  -0.1257998300929533-117  -0.8171305510748033E+00           200            15  -0.27630974E+03
 -0.1568074096109005E+00   0.1307150276464725-117  -0.8207410291665642E+00           200            15  -0.27631100E+03
 -0.1552393355147914E+00  -0.1359824859273828-117  -0.8243445595974754E+00           200            15  -0.27631100E+03
 -0.1536869421596435E+00   0.1415521403481341-117  -0.8279411699150592E+00           200            15  -0.27631029E+03
 -0.1521500727380471E+00  -0.1468407162910483-117  -0.8315308875227332E+00           200            15  -0.27631296E+03
 -0.1506285720106666E+00   0.1530059687244236-117  -0.8351137396797912E+00           200            15  -0.27631111E+03
 -0.1491222862905599E+00   0.1004385630980015E-14  -0.8386897535034900E+00           200            15  -0.39604972E+02
 -0.1476310634276543E+00   0.1651865125307844-117  -0.8422589559690137E+00           200            15  -0.27631283E+03
 -0.1461547527933778E+00  -0.1129579938888857E-13  -0.8458213739108233E+00           200            15  -0.35345020E+02
 -0.1446932052654440E+00  -0.2437984435484014E-14  -0.8493770340232460E+00           200            15  -0.36047826E+02
