 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.292097916845024     ,
 FAL     =  0.999900000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.62115146862572     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
 -0.1621151468625721E+01  -0.3820291556615504-307   0.2920979168450240E+00  -0.7077392606417773E+03
 -0.1605019939431441E+01   0.0000000000000000E+00   0.2856236626391260E+00  -0.1200000000000000E+03
 -0.1589048929620564E+01  -0.1404106333925560E-17   0.2791689415708213E+00  -0.3673660805440679E+02
 -0.1573236841919072E+01   0.9235353804074372E-18   0.2727336543459442E+00  -0.3673671677125441E+02
 -0.1557582094946880E+01   0.1704903954533413E-17   0.2663177022497646E+00  -0.3673651332554311E+02
 -0.1542083123059679E+01   0.2256859691609046E-17   0.2599209871436250E+00  -0.3604352677687010E+02
 -0.1526738376192361E+01   0.2677612001539410E-17   0.2535434114615971E+00  -0.3604347410613303E+02
 -0.1511546319703986E+01   0.2909993506237691-307   0.2471848782071485E+00  -0.7074007562060322E+03
 -0.1496505434224308E+01  -0.4696012166699489-307   0.2408452909498319E+00  -0.7073778465462375E+03
 -0.1481614215501820E+01   0.0000000000000000E+00   0.2345245538219858E+00  -0.1200000000000000E+03
 -0.1466871174253313E+01  -0.4488815964811249-307   0.2282225715154547E+00  -0.7069788876622941E+03
 -0.1452274836014929E+01   0.3903939681427986-307   0.2219392492783214E+00  -0.7071223360773828E+03
 -0.1437823740994702E+01  -0.2958740706686505-307   0.2156744929116584E+00  -0.7074033987835110E+03
 -0.1423516443926558E+01   0.3176454964522519-307   0.2094282087662933E+00  -0.7073362315179884E+03
 -0.1409351513925782E+01   0.2206382322536400E-17   0.2032003037395946E+00  -0.3673629015032157E+02
 -0.1395327534345904E+01   0.1705512053764376E-17   0.1969906852722645E+00  -0.3673649372750766E+02
