 $IN
 LR      =  0.000000000000000E+000,
 -0.1381443102637026E+01   0.3349385989778109-307   0.1907992613451572E+00  -0.7072946917889971E+03
 -0.1367696830205545E+01   0.2708343950196604-307   0.1846259404761052E+00  -0.7075109443497017E+03
 -0.1354087342275285E+01  -0.6519103354919669-307   0.1784706317167664E+00  -0.7069225049981529E+03
 -0.1340613277750003E+01  -0.3299719791060016-307   0.1723332446494870E+00  -0.7073210534094521E+03
 -0.1327273289077263E+01   0.4466277130769688-307   0.1662136893841749E+00  -0.7070221321149020E+03
 -0.1314066042113666E+01   0.0000000000000000E+00   0.1601118765551948E+00  -0.1200000000000000E+03
 -0.1300990215991423E+01   0.4382175056775398-307   0.1540277173182754E+00  -0.7070487182623282E+03
 -0.1288044502986253E+01   0.0000000000000000E+00   0.1479611233474338E+00  -0.1200000000000000E+03
 -0.1275227608386597E+01  -0.3032680343763136-307   0.1419120068319140E+00  -0.7074243705849015E+03
 -0.1262538250364129E+01  -0.2489100771611052-307   0.1358802804731417E+00  -0.7076256645531389E+03
 -0.1249975159845567E+01  -0.6302059098795865-307   0.1298658574816956E+00  -0.7067004727209733E+03
 -0.1237537080385746E+01   0.5604431808672407-307   0.1238686515742932E+00  -0.7068215489664721E+03
 -0.1225222768041959E+01  -0.2838778906734875-307   0.1178885769707900E+00  -0.7075054845676949E+03
 -0.1213030991249553E+01  -0.2383248287090787-307   0.1119255483911985E+00  -0.7076841405082994E+03
 -0.1200960530698758E+01   0.0000000000000000E+00   0.1059794810527175E+00  -0.1200000000000000E+03
 -0.1189010179212744E+01  -0.4252306817951331-307   0.1000502906667826E+00  -0.7071126191201504E+03
 -0.1177178741626886E+01  -0.2405234564271252-307   0.9413789343612516E-01  -0.7076861628075101E+03
 -0.1165465034669241E+01   0.3101419223233604-307   0.8824220605185260E-01  -0.7074356742950982E+03
 -0.1153867886842198E+01  -0.1437762277100775-306   0.8236314569053774E-01  -0.7060133920122510E+03
 -0.1142386138305329E+01   0.5322627483485295-307   0.7650063001133042E-01  -0.7069029978982244E+03
 -0.1131018640759382E+01  -0.3727263590507358-307   0.7065457715307918E-01  -0.7072629975839851E+03
 -0.1119764257331441E+01   0.0000000000000000E+00   0.6482490573146690E-01  -0.1200000000000000E+03
 -0.1108621862461229E+01   0.4449993330956948-307   0.5901153483616738E-01  -0.7070931662761081E+03
 -0.1097590341788537E+01   0.3001153379338346-307   0.5321438402801019E-01  -0.7074907621724352E+03
 -0.1086668592041777E+01  -0.3136601796751952-307   0.4743337333616653E-01  -0.7074503031604223E+03
 -0.1075855520927647E+01  -0.4910682139416366-307   0.4166842325534548E-01  -0.7070057088966952E+03
 -0.1065150047021878E+01  -0.6948668274839236-307   0.3591945474300383E-01  -0.7066622446543207E+03
 -0.1054551099661095E+01   0.0000000000000000E+00   0.3018638921657881E-01  -0.1200000000000000E+03
 -0.1044057618835725E+01  -0.3135114485065597-307   0.2446914855072538E-01  -0.7074654577353566E+03
 -0.1033668555083998E+01  -0.2486222264166300-307   0.1876765507457659E-01  -0.7077010148418909E+03
 -0.1023382869386978E+01  -0.1427400761577610-301   0.1308183156901237E-01  -0.6944588093972499E+03
 -0.1013199533064656E+01   0.3678288265207896-307   0.7411601263946915E-02  -0.7073166261994082E+03
 -0.1003117527673069E+01   0.0000000000000000E+00   0.1756887835628339E-02  -0.1200000000000000E+03
 -0.9931358449024460E+00   0.1674750988795138E-17  -0.3882384596045370E-02  -0.3673644191407465E+02
 -0.9832534864763636E+00  -0.3182391256784600-307  -0.9506291470197003E-02  -0.7074723395110847E+03
 -0.9734694640519098E+00   0.4630271848583481-307  -0.1511490778762598E-01  -0.7071009782191560E+03
 -0.9637827991208379E+00   0.0000000000000000E+00  -0.2070830811345099E-01  -0.1200000000000000E+03
 -0.9541925229117050E+00  -0.2494153083446949-307  -0.2628656657973616E-01  -0.7077268701153582E+03
 -0.9446976762929852E+00  -0.3845995561581725-307  -0.3184975688810461E-01  -0.7072973909703337E+03
 -0.9352973096771460E+00   0.2931500601334096-307  -0.3739795231233661E-01  -0.7075725073693907E+03
 -0.9259904829256779E+00  -0.2676192206615429-307  -0.4293122570095520E-01  -0.7076672194153236E+03
 -0.9167762652550714E+00  -0.2771262808890033-307  -0.4844964947979608E-01  -0.7076358980612766E+03
 -0.9076537351437289E+00   0.4309841264939275-307  -0.5395329565456360E-01  -0.7071978810849420E+03
 -0.8986219802398026E+00   0.0000000000000000E+00  -0.5944223581337346E-01  -0.1200000000000000E+03
 -0.8896800972699471E+00  -0.2522344435197112-307  -0.6491654112928166E-01  -0.7077407379521852E+03
 -0.8808271919489866E+00   0.3203473711917984-307  -0.7037628236279705E-01  -0.7075052545860680E+03
 -0.8720623788904724E+00  -0.3352407521743769-307  -0.7582152986438384E-01  -0.7074633693686534E+03
 -0.8633847815181374E+00  -0.4507923186506807-307  -0.8125235357694688E-01  -0.7071707635233754E+03
 -0.8547935319782267E+00   0.3015472474206083-307  -0.8666882303830559E-01  -0.7075763896926477E+03
 -0.8462877710527057E+00   0.2884732554313607-307  -0.9207100738365159E-01  -0.7076242543362621E+03
 -0.8378666480733276E+00   0.5405749630887512E-18  -0.9745897534799433E-01  -0.3673675962664348E+02
 -0.8295293208365541E+00  -0.2312229560067932-307  -0.1028327952685957E+00  -0.7078525374156463E+03
 -0.8212749555193327E+00  -0.2623262462552794-307  -0.1081925350873827E+00  -0.7077298536960182E+03
 -0.8131027265957016E+00   0.3317792460720567-307  -0.1135382623533556E+00  -0.7074984897693946E+03
 -0.8050118167542253E+00   0.2577160106839094-307  -0.1188700442249798E+00  -0.7077546124563177E+03
 -0.7970014168162607E+00   0.4999610232078260-307  -0.1241879474725601E+00  -0.7070954458102347E+03
 -0.7890707256550253E+00  -0.9719464565764989-307  -0.1294920384806079E+00  -0.7063147316372446E+03
 -0.7812189501154790E+00   0.3797725312249631-307  -0.1347823832501900E+00  -0.7073773964010958E+03
 -0.7734453049349976E+00   0.3306049170332542-307  -0.1400590474012682E+00  -0.7075195324755741E+03
 -0.7657490126648403E+00  -0.2704208762220215-307  -0.1453220961750214E+00  -0.7077239587778098E+03
 -0.7581293035923964E+00  -0.2440540244989321-307  -0.1505715944361569E+00  -0.7078300246261061E+03
 -0.7505854156642020E+00  -0.4624660297873927-307  -0.1558076066752108E+00  -0.7071943111693591E+03
 -0.7431165944097311E+00  -0.3456040419447960-307  -0.1610301970108300E+00  -0.7074890546951139E+03
 -0.7357220928659384E+00   0.0000000000000000E+00  -0.1662394291920453E+00  -0.1200000000000000E+03
 -0.7284011715025549E+00  -0.3571250968706053-307  -0.1714353666005293E+00  -0.7074631729384529E+03
 -0.7211530981481247E+00   0.2319068572246696-307  -0.1766180722528452E+00  -0.7078983697395761E+03
 -0.7139771479167849E+00  -0.4469069990543440-307  -0.1817876088026752E+00  -0.7072457956219968E+03
 -0.7068726031357649E+00   0.2341458189551406E-17  -0.1869440385430444E+00  -0.3604344377637749E+02
 -0.6998387532736123E+00  -0.2468740545038322-307  -0.1920874234085267E+00  -0.7078461313016645E+03
 -0.6928748948691343E+00   0.3603436291930131-307  -0.1972178249774387E+00  -0.7074713743817257E+03
 -0.6859803314610400E+00  -0.2345035353228367-307  -0.2023353044740240E+00  -0.7079043787861624E+03
 -0.6791543735182913E+00   0.3903698836738637-307  -0.2074399227706193E+00  -0.7073981657946862E+03
 -0.6723963383711372E+00   0.2880780711697658-307  -0.2125317403898150E+00  -0.7077054341190043E+03
 -0.6657055501428443E+00   0.2395425908855221-307  -0.2176108175065960E+00  -0.7078933336301520E+03
 -0.6590813396820989E+00  -0.2690857549019716-307  -0.2226772139504752E+00  -0.7077804280436482E+03
 -0.6525230444960857E+00   0.2255233024881253-307  -0.2277309892076127E+00  -0.7079604220503261E+03
 -0.6460300086842303E+00  -0.2855562894211129-307  -0.2327722024229233E+00  -0.7077277878217292E+03
 -0.6396015828726030E+00   0.1278104033344062E-17  -0.2378009124021702E+00  -0.3673653792098069E+02
 -0.6332371241489752E+00  -0.2026758775169500E-16  -0.2428171776140476E+00  -0.3774632196822640E+02
 -0.6269359959985189E+00   0.2790953422917631E-17  -0.2478210561922514E+00  -0.3604333719071271E+02
 -0.6206975682401497E+00  -0.2542765271690479-307  -0.2528126059375387E+00  -0.7078572711301229E+03
 -0.6145212169635033E+00   0.1193964032053283E-16  -0.2577918843197693E+00  -0.3671394734660036E+02
 -0.6084063244665330E+00   0.0000000000000000E+00  -0.2627589484799469E+00  -0.1200000000000000E+03
 -0.6023522791937395E+00   0.4340172228669527E-17  -0.2677138552322329E+00  -0.3673368994767699E+02
 -0.5963584756750026E+00  -0.4111965779716624E-16  -0.2726566610659636E+00  -0.3651352729632380E+02
 -0.5904243144650306E+00   0.8169764093173309E-16  -0.2775874221476445E+00  -0.3582187845192960E+02
 -0.5845492020834099E+00  -0.3045413597759484-307  -0.2825061943229374E+00  -0.7076969082081714E+03
 -0.5787325509552491E+00   0.5299810587073087-307  -0.2874130331186345E+00  -0.7069311678695212E+03
 -0.5729737793524153E+00   0.3711314576555147-307  -0.2923079937446232E+00  -0.7072884084763451E+03
 -0.5672723113353545E+00  -0.2576674804974328E-17  -0.2971911310958365E+00  -0.3604337039308749E+02
 -0.5616275766954932E+00  -0.7088609733400099-138  -0.3020624997541906E+00  -0.3173803735824662E+03
 -0.5560390108982105E+00  -0.2419305871505535-307  -0.3069221539905160E+00  -0.7079435854222781E+03
 -0.5505060550263770E+00   0.3122952166752714-307  -0.3117701477664726E+00  -0.7076915737076163E+03
 -0.5450281557244611E+00   0.1553098278351821E-17  -0.3166065347364529E+00  -0.3673638138404502E+02
 -0.5396047651431807E+00   0.0000000000000000E+00  -0.3214313682494817E+00  -0.1200000000000000E+03
 -0.5342353408847187E+00  -0.2971436256093081-307  -0.3262447013510920E+00  -0.7077511304525672E+03
 -0.5289193459484752E+00   0.3035733348988449-307  -0.3310465867851987E+00  -0.7077329854078708E+03
 -0.5236562486773610E+00   0.4416994091038674-307  -0.3358370769959589E+00  -0.7071241949573808E+03
 -0.5184455227046256E+00  -0.2746451416182701-307  -0.3406162241296211E+00  -0.7078396359933023E+03
 -0.5132866469012174E+00  -0.2639240401697584-307  -0.3453840800363601E+00  -0.7078826992138482E+03
