 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.429332071049662     ,
 FAL     =  0.999000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.428729187234464     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =       10000,
 IW      =          10
 $END
 alpha                    wr                       wi                       funk                    
 -0.2426283283785363E+00  -0.8276850613936370-307  -0.6739051819727537E+00  -0.7062141248012521E+03
 -0.2402129343050194E+00   0.1005312055399265E-17  -0.6779490159515269E+00  -0.3673654917379687E+02
 -0.2378215857688451E+00   0.4612603937741374E-16  -0.6819847814139111E+00  -0.3592582398918803E+02
 -0.2354540433938086E+00   0.2461220212034105-307  -0.6860125120099749E+00  -0.7078503407798729E+03
 -0.2331100701867241E+00  -0.5625319688840671E-16  -0.6900322412077613E+00  -0.3587598967447710E+02
 -0.2307894315137012E+00  -0.2723271399979729E-17  -0.6940440022944017E+00  -0.3604318490712138E+02
 -0.2284918950766582E+00   0.3906258465966731-307  -0.6980478283772269E+00  -0.7069577684472312E+03
 -0.2262172308900685E+00  -0.1021361299295493-306  -0.7020437523848695E+00  -0.7059954625635010E+03
 -0.2239652112579388E+00   0.4141368250046477E-18  -0.7060318070683582E+00  -0.3673675669787545E+02
 -0.2217356107510170E+00   0.1267576936509433E-15  -0.7100120250022068E+00  -0.3514253421879253E+02
 -0.2195282061842259E+00  -0.5454197285037801E-17  -0.7139844385854958E+00  -0.3672918893038923E+02
 -0.2173427765943229E+00   0.1184919175313510E-15  -0.7179490800429451E+00  -0.3534219123391615E+02
 -0.2151791032177805E+00  -0.1876385985714803E-17  -0.7219059814259841E+00  -0.3604342472068046E+02
 -0.2130369694688885E+00   0.4160540883270085-307  -0.7258551746138092E+00  -0.7068867987724519E+03
 -0.2109161609180735E+00   0.1761095600805478-306  -0.7297966913144407E+00  -0.3563818828100899E+02
 -0.2088164652704341E+00   0.7618130813067692-307  -0.7337305630657680E+00  -0.7062797584606205E+03
 -0.2067376723444900E+00   0.4887331997527941-307  -0.7376568212365899E+00  -0.7067225827851416E+03
 -0.2046795740511427E+00   0.1157575843488636E-17  -0.7415754970276491E+00  -0.3673644568392090E+02
 -0.2026419643728459E+00  -0.7164108814435355E-18  -0.7454866214726585E+00  -0.3673666408545621E+02
 -0.2006246393429823E+00   0.0000000000000000E+00  -0.7493902254393221E+00  -0.1200000000000000E+03
 -0.1986273970254469E+00   0.4150481099025426E-16  -0.7532863396303482E+00  -0.3593980290898470E+02
 -0.1966500374944327E+00  -0.1421833559843942E-17  -0.7571749945844577E+00  -0.3604351743421088E+02
 -0.1946923628144181E+00  -0.1310828866662620E-16  -0.7610562206773840E+00  -0.3603218460996693E+02
 -0.1927541770203534E+00  -0.7443263790776622E-16  -0.7649300481228675E+00  -0.3618684205001679E+02
 -0.1908352860980443E+00  -0.2295315095331461-307  -0.7687965069736442E+00  -0.7079637585624112E+03
 -0.1889354979647313E+00  -0.4706112563200205-307  -0.7726556271224270E+00  -0.7067513235047328E+03
 -0.1870546224498616E+00  -0.1729583253147072E-17  -0.7765074383028807E+00  -0.3673598096723934E+02
 -0.1851924712760528E+00   0.6829707672447280E-16  -0.7803519700905918E+00  -0.3626528661885797E+02
 -0.1833488580402470E+00  -0.7739368338781432E-16  -0.7841892519040302E+00  -0.3574219541929813E+02
 -0.1815235981950505E+00   0.6517823935294327E-18  -0.7880193130055069E+00  -0.3604362393662647E+02
 -0.1797165090302613E+00   0.4200876987472874E-17  -0.7918421825021240E+00  -0.3604242677664303E+02
 -0.1779274096545791E+00   0.3567242156733125-306  -0.7956578893467190E+00  -0.7046638583545779E+03
 -0.1761561209774987E+00   0.0000000000000000E+00  -0.7994664623388023E+00  -0.1200000000000000E+03
 -0.1744024656913816E+00   0.5686559714059025E-18  -0.8032679301254906E+00  -0.3673670954670791E+02
 -0.1726662682537086E+00  -0.1927182404930361E-17  -0.8070623212024328E+00  -0.3604339110030553E+02
 -0.1709473548695072E+00  -0.3279759068812561E-16  -0.8108496639147293E+00  -0.3597267059738265E+02
 -0.1692455534739546E+00  -0.2459548516474234-307  -0.8146299864578470E+00  -0.7079197948273979E+03
 -0.1675606937151539E+00  -0.1340643863532493E-16  -0.8184033168785274E+00  -0.3668791716526143E+02
 -0.1658926069370819E+00  -0.8817955306244698E-18  -0.8221696830756895E+00  -0.3673657763421075E+02
 -0.1642411261627061E+00  -0.3810002941745619E-16  -0.8259291128013257E+00  -0.3643310343510542E+02
 -0.1626060860772705E+00  -0.6810479424272332E-16  -0.8296816336613936E+00  -0.3608535576585776E+02
 -0.1609873230117473E+00   0.3300326040318117E-17  -0.8334272731166998E+00  -0.3535030885897856E+02
 -0.1593846749264533E+00   0.2095368103233664-298  -0.8371660584837815E+00  -0.6867479744388344E+03
 -0.1577979813948301E+00  -0.5808235918716266E-17  -0.8408980169357770E+00  -0.3672704287925173E+02
 -0.1562270835873847E+00   0.1228675275470547E-17  -0.8446231755032974E+00  -0.3604354276451522E+02
 -0.1546718242557906E+00  -0.1192047806314066E-17  -0.8483415610752860E+00  -0.3673638267161673E+02
 -0.1531320477171474E+00  -0.1613893385915154E-17  -0.8520532003998778E+00  -0.3604346114797646E+02
 -0.1516075998383967E+00   0.9665729775914243E-16  -0.8557581200852484E+00  -0.3520190337640931E+02
 -0.1500983280208928E+00   0.2163681407244167E-16  -0.8594563466004617E+00  -0.3562295156456828E+02
 -0.1486040811851283E+00   0.1441552013049694E-17  -0.8631479062763101E+00  -0.3604349833612446E+02
 -0.1471247097556101E+00  -0.2252455951699456E-16  -0.8668328253061480E+00  -0.3733218957574491E+02
 -0.1456600656458870E+00  -0.6341219199341175E-18  -0.8705111297467236E+00  -0.3673667968785559E+02
 -0.1442100022437262E+00  -0.3865788133723766E-16  -0.8741828455190013E+00  -0.3594199521848748E+02
 -0.1427743743964373E+00  -0.3025644157088359-307  -0.8778479984089818E+00  -0.7071701690328706E+03
 -0.1413530383963425E+00  -0.6746652541651027E-18  -0.8815066140685142E+00  -0.3673666226356086E+02
 -0.1399458519663908E+00   0.2095225762673114E-17  -0.8851587180161065E+00  -0.3604331878847266E+02
 -0.1385526742459166E+00   0.2033486091604235E-17  -0.8888043356377271E+00  -0.3604333709007735E+02
 -0.1371733657765387E+00   0.9426097908575832E-18  -0.8924434921876028E+00  -0.3604358516683943E+02
 -0.1358077884882013E+00  -0.1041057485644248E-17  -0.8960762127890127E+00  -0.3604356987864170E+02
 -0.1344558056853520E+00   0.2275905141439067E-17  -0.8997025224350748E+00  -0.3604325298843515E+02
 -0.1331172820332595E+00  -0.2292297836796847-200  -0.9033224459895286E+00  -0.4609725363796637E+03
 -0.1317920835444657E+00  -0.2068352489929156E-17  -0.9069360081875133E+00  -0.3604332033077842E+02
 -0.1304800775653736E+00  -0.2671003540660101-307  -0.9105432336363395E+00  -0.7072889682901514E+03
 -0.1291811327629689E+00   0.3166805315201670E-16  -0.9141441468162574E+00  -0.3597060815979380E+02
