 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.5928475635913644E+00   0.2452507014356551-307  -0.2697481551678725E+00           200             3  -0.70714190E+03
 -0.5869190879554507E+00   0.0000000000000000E+00  -0.2745797126973133E+00           200             3  -0.12000000E+03
 -0.5810498970758962E+00   0.9619559920022434E-18  -0.2793990277681724E+00           200             3  -0.36716853E+02
 -0.5752393981051372E+00  -0.3757650290094546-307  -0.2842061571369018E+00           200             3  -0.70678055E+03
 -0.5694870041240858E+00  -0.3958321525439202-120  -0.2890011572366162E+00           200             3  -0.27666476E+03
 -0.5637921340828449E+00  -0.1720928126651472E-17  -0.2937840841790744E+00           200             3  -0.36722522E+02
 -0.5581542127420165E+00  -0.3327687896705957-307  -0.2985549937566487E+00           200             3  -0.70696434E+03
 -0.5525726706145964E+00  -0.5955706145552278E-18  -0.3033139414442823E+00           200             3  -0.36726731E+02
 -0.5470469439084504E+00   0.6545702223089304E-17  -0.3080609824014337E+00           200             3  -0.39116353E+02
 -0.5415764744693660E+00  -0.4130446752852859E-17  -0.3127961714740137E+00           200             3  -0.39606250E+02
 -0.5361607097246723E+00   0.7403408845256357-307  -0.3175195631963056E+00           200             3  -0.70705306E+03
 -0.5307991026274256E+00   0.4724596088222535-307  -0.3222312117928786E+00           200             3  -0.70722932E+03
 -0.5254911116011514E+00   0.9091957471282491-307  -0.3269311711804856E+00           200             3  -0.70665372E+03
 -0.5202362004851399E+00  -0.1225163074533423E-15  -0.3316194949699558E+00           200             3  -0.35286121E+02
 -0.5150338384802885E+00  -0.4199921305233303E-16  -0.3362962364680673E+00           200             3  -0.37430379E+02
 -0.5098835000954856E+00  -0.4445151054715531-307  -0.3409614486794178E+00           200             3  -0.70741509E+03
 -0.5047846650945307E+00  -0.1147452909849766E-16  -0.3456151843082778E+00           200             3  -0.36048841E+02
 -0.4997368184435854E+00   0.4111865663331270E-17  -0.3502574957604336E+00           200             3  -0.36052598E+02
 -0.4947394502591495E+00   0.7546312720771912E-17  -0.3548884351450223E+00           200             4  -0.36044402E+02
 -0.4897920557565580E+00  -0.2705466286404483-307  -0.3595080542763540E+00           200             4  -0.70804403E+03
 -0.4848941351989924E+00  -0.2843049505070827-307  -0.3641164046757212E+00           200             4  -0.70802640E+03
 -0.4800451938470024E+00  -0.2698143759295063-307  -0.3687135375731982E+00           200             4  -0.70811071E+03
 -0.4752447419085324E+00   0.5859604731592192-307  -0.3732995039094348E+00           200             4  -0.70804256E+03
 -0.4704922944894471E+00   0.5699430644390088-307  -0.3778743543374311E+00           200             4  -0.70812017E+03
 -0.4657873715445526E+00   0.2490425195737215-307  -0.3824381392243072E+00           200             4  -0.70828704E+03
