 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.000000000000000E+000,
 NU      =  0.100000000000000     ,
 FNU     =  0.500100000000000     ,
 DLR     =  1.000000000000000E-004,
 DLI     =  1.000000000000000E-004,
 ALPHA   = -0.990000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+120,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 INUMAX  =       10000
 $END
 wr =   0.000000000000000E+000
 wi =  -5.698884682300605E-003
 nu                       wr                       wi                       nmax          nmin          funk           
 Landau mode (nu = 0.)     0.                      -0.5662521819357232E-02
212
  0.1509868815609590E+01  -0.1566233284018914E-20  -0.2765956244975445E-02            50             3  -0.33010886E+02
  0.1525118490647247E+01   0.2822063238811350E-20  -0.2746541288006449E-02            50             3  -0.32679262E+02
  0.1540522187402784E+01  -0.1229904783098527E-20  -0.2727149336206152E-02            50             3  -0.32946706E+02
  0.1556081461495552E+01   0.1907053972810036E-20  -0.2707782682169754E-02            50             3  -0.32937808E+02
  0.1571797884256657E+01  -0.7404114862054999E-21  -0.2688443594769261E-02            50             3  -0.33622087E+02
  0.1587673042887649E+01  -0.1434709738404450E-21  -0.2669134318008042E-02            50             3  -0.34624804E+02
  0.1603708540620814E+01  -0.3332996282714910E-21  -0.2649857069918465E-02            50             3  -0.34615831E+02
  0.1619905996881085E+01   0.1888149549782636E-19  -0.2630614041503329E-02            50             3  -0.33987535E+02
  0.1636267047449584E+01  -0.9533295082289022E-19  -0.2611407395721707E-02            50             3  -0.32039533E+02
  0.1652793344628825E+01  -0.3736673557496924E-20  -0.2592239266519709E-02            50             3  -0.32861500E+02
  0.1669486557409576E+01   0.2747757117763798E-20  -0.2573111757906592E-02            50             3  -0.32670341E+02
  0.1686348371639412E+01  -0.1415163944419594E-20  -0.2554026943076495E-02            50             3  -0.33472204E+02
  0.1703380490192970E+01   0.9901367338179685E-19  -0.2534986863576032E-02            50             3  -0.31703876E+02
  0.1720584633143919E+01  -0.7379597666157566E-20  -0.2515993528517849E-02            50             3  -0.32057313E+02
  0.1737962537938673E+01  -0.1388264412037128E-20  -0.2497048913840157E-02            50             3  -0.32773052E+02
  0.1755515959571853E+01   0.1289048193792898E-18  -0.2478154961612179E-02            50             3  -0.31920321E+02
  0.1773246670763529E+01  -0.7149418247454830E-19  -0.2459313579385358E-02            50             3  -0.32678603E+02
  0.1791156462138241E+01  -0.1570989799299723E-18  -0.2440526639590081E-02            50             3  -0.32545980E+02
  0.1809247142405837E+01   0.1358846496048516E-20  -0.2421795978977594E-02            50             3  -0.32543695E+02
  0.1827520538544136E+01  -0.3983863226336838E-20  -0.2403123398106732E-02            50             3  -0.32625942E+02
  0.1845978495983432E+01   0.6328010147911130E-20  -0.2384510660874976E-02            50             3  -0.32079412E+02
  0.1864622878792865E+01  -0.3244226283805245E-18  -0.2365959494093321E-02            50             3  -0.31032249E+02
  0.1883455569868673E+01  -0.9467869157351564E-20  -0.2347471587104342E-02            50             3  -0.32191995E+02
  0.1902478471124346E+01   0.4419998039990582E-20  -0.2329048591442807E-02            50             3  -0.31986759E+02
  0.1921693503682702E+01   0.2767276609877374E-20  -0.2310692120538112E-02            50             3  -0.31431721E+02
  0.1941102608069897E+01   0.8179038508794482E-20  -0.2292403749457782E-02            50             3  -0.32164415E+02
  0.1960707744411403E+01   0.1503402624662328E-18  -0.2274185014691200E-02            50             3  -0.31300349E+02
  0.1980510892629959E+01   0.7812357211427155E-19  -0.2256037413972734E-02            50             3  -0.31281711E+02
  0.2000514052645521E+01   0.1076987644744435E-20  -0.2237962406143315E-02            50             3  -0.32997886E+02
  0.2020719244577241E+01  -0.1560308008491261E-20  -0.2219961411049563E-02            50             3  -0.31706088E+02
  0.2041128508947471E+01  -0.4781283205969167E-21  -0.2202035809479467E-02            50             3  -0.33256986E+02
  0.2061743906887840E+01  -0.7344166602879945E-20  -0.2184186943133617E-02            50             3  -0.31045874E+02
  0.2082567520347407E+01   0.7745880577862973E-22  -0.2166416114630964E-02            50             3  -0.35763824E+02
  0.2103601452302916E+01  -0.5441804287691549E-19  -0.2148724587548035E-02            50             3  -0.30711712E+02
  0.2124847826971176E+01   0.3832376810359612E-20  -0.2131113586490561E-02            50             3  -0.31421105E+02
  0.2146308790023585E+01   0.2900451717989764E-19  -0.2113584297196396E-02            50             3  -0.31059046E+02
  0.2167986508802823E+01  -0.3104340285948981E-21  -0.2096137866668645E-02            50             3  -0.33711591E+02
  0.2189883172541732E+01   0.2012846818763160E-19  -0.2078775403337874E-02            50             3  -0.30895209E+02
  0.2212000992584403E+01  -0.1905810825113645E-18  -0.2061497977252293E-02            50             3  -0.30522076E+02
  0.2234342202609505E+01  -0.8793082809209488E-22  -0.2044306620294777E-02            50             3  -0.35005054E+02
  0.2256909058855861E+01  -0.7817002784510207E-19  -0.2027202326425610E-02            50             3  -0.30349668E+02
  0.2279703840350305E+01  -0.1092567521002814E-20  -0.2010186051949812E-02            50             3  -0.33427029E+02
  0.2302728849137843E+01   0.1644295624905435E-21  -0.1993258715807930E-02            50             3  -0.33030919E+02
  0.2325986410514135E+01   0.3133198090141349E-20  -0.1976421199889187E-02            50             3  -0.31278337E+02
  0.2349478873260328E+01   0.3888462971868185E-21  -0.1959674349365862E-02            50             3  -0.32452331E+02
  0.2373208609880257E+01   0.1739708185755314E-21  -0.1943018973047816E-02            50             3  -0.32645795E+02
  0.2397178016840048E+01  -0.4440386482562435E-21  -0.1926455843756056E-02            50             3  -0.32182019E+02
  0.2421389514810132E+01  -0.4477490890624916E-21  -0.1909985698714281E-02            50             3  -0.32465467E+02
  0.2445845548909715E+01  -0.1096021305998518E-20  -0.1893609239957340E-02            50             3  -0.32568084E+02
  0.2470548588953703E+01  -0.1742030576084793E-20  -0.1877327134755550E-02            50             3  -0.31542875E+02
  0.2495501129702136E+01  -0.1154973424510856E-21  -0.1861140016053863E-02            50             3  -0.33984386E+02
  0.2520705691112127E+01  -0.1423357829838165E-19  -0.1845048482924860E-02            50             3  -0.29876855E+02
  0.2546164818592359E+01  -0.7906744414872953E-21  -0.1829053101034591E-02            50             3  -0.31937125E+02
  0.2571881083260142E+01  -0.2607571208473882-307  -0.1813154403120282E-02            50             3  -0.69590139E+03
  0.2597857082201070E+01  -0.1415354170915867E-20  -0.1797352889478998E-02            50             3  -0.31130730E+02
  0.2624095438731301E+01   0.3871972473387312E-20  -0.1781649028466289E-02            50             3  -0.31144919E+02
  0.2650598802662487E+01   0.1172617409911088E-21  -0.1766043257003965E-02            50             3  -0.32703225E+02
  0.2677369850569378E+01   0.5454917239633334E-20  -0.1750535981096103E-02            50             3  -0.31125031E+02
  0.2704411286060128E+01  -0.2736075493576887E-20  -0.1735127576352441E-02            50             3  -0.31655534E+02
  0.2731725840049336E+01  -0.7392006639677119E-19  -0.1719818388518340E-02            50             3  -0.30166006E+02
  0.2759316271033834E+01   0.1184246872480856E-20  -0.1704608734010508E-02            50             3  -0.31724961E+02
  0.2787185365371276E+01   0.4540163435858303E-21  -0.1689498900457714E-02            50             3  -0.31715531E+02
  0.2815335937561526E+01   0.5695651643466058E-21  -0.1674489147245758E-02            50             3  -0.30848809E+02
  0.2843770830530897E+01  -0.8681874494649164E-22  -0.1659579706065949E-02            50             3  -0.33597152E+02
  0.2872492915919259E+01   0.1161021857131962E-18  -0.1644770781466431E-02            50             3  -0.30410789E+02
  0.2901505094370044E+01   0.2614653718728507E-20  -0.1630062551405654E-02            50             3  -0.30977624E+02
  0.2930810295823181E+01  -0.9280781021364365E-21  -0.1615455167807380E-02            50             3  -0.30466718E+02
  0.2960411479810996E+01   0.5245083060471687E-21  -0.1600948757116574E-02            50             3  -0.32294548E+02
  0.2990311635757087E+01   0.7180290071563050E-19  -0.1586543420855627E-02            50             3  -0.30505636E+02
  0.3020513783278233E+01  -0.1582617316471502E-18  -0.1572239236180307E-02            50             3  -0.29489660E+02
  0.3051020972489343E+01   0.3531359419625326E-20  -0.1558036256434931E-02            50             3  -0.29722674E+02
  0.3081836284311485E+01   0.1756272809931044E-20  -0.1543934511706220E-02            50             3  -0.30190204E+02
  0.3112962830783031E+01   0.1359637383466608E-20  -0.1529934009375362E-02            50             3  -0.31084247E+02
  0.3144403755373940E+01  -0.2458504211603742E-20  -0.1516034734667806E-02            50             3  -0.30374633E+02
  0.3176162233303217E+01  -0.5728074344406868E-19  -0.1502236651200355E-02            50             3  -0.30731511E+02
  0.3208241471859580E+01   0.4124585941461116E-21  -0.1488539701525123E-02            50             3  -0.31460729E+02
  0.3240644710725361E+01  -0.1521712688928184E-18  -0.1474943807669984E-02            50             3  -0.29856338E+02
  0.3273375222303688E+01   0.1513345018358314E-20  -0.1461448871675112E-02            50             3  -0.31084080E+02
  0.3306436312048955E+01  -0.2024439525987751E-20  -0.1448054776125280E-02            50             3  -0.30027431E+02
  0.3339831318800649E+01   0.1314393753950639E-19  -0.1434761384677582E-02            50             3  -0.28961133E+02
  0.3373563615120536E+01  -0.1055146073344388E-20  -0.1421568542584262E-02            50             3  -0.30600965E+02
  0.3407636607633253E+01  -0.8443013162967760E-19  -0.1408476077210366E-02            50             3  -0.29792961E+02
  0.3442053737370349E+01   0.5520777510713104E-20  -0.1395483798545951E-02            50             3  -0.29394330E+02
  0.3476818480117789E+01   0.2763295691621571E-21  -0.1382591499712584E-02            50             3  -0.31440396E+02
  0.3511934346766979E+01  -0.1679606328411674E-20  -0.1369798957463921E-02            50             3  -0.29567580E+02
  0.3547404883669325E+01  -0.1907654460004968E-21  -0.1357105932680133E-02            50             3  -0.30565888E+02
  0.3583233672994386E+01  -0.4587759037887532E-21  -0.1344512170855988E-02            50             3  -0.30958028E+02
  0.3619424333091629E+01   0.2865050182820188E-27  -0.1332017402582409E-02            50             3  -0.28997024E+02
  0.3655980518855855E+01  -0.4495647115074804E-20  -0.1319621344021350E-02            50             3  -0.29541323E+02
  0.3692905922096299E+01   0.1090837277266074E-20  -0.1307323697373818E-02            50             3  -0.29792918E+02
  0.3730204271909471E+01   0.5834204820528795E-21  -0.1295124151340939E-02            50             3  -0.30395694E+02
  0.3767879335055757E+01   0.6656417263782426E-20  -0.1283022381577927E-02            50             3  -0.29315768E+02
  0.3805934916339820E+01   0.1338235309565271E-20  -0.1271018051140847E-02            50             3  -0.29983438E+02
  0.3844374858994852E+01   0.2422642603654034E-21  -0.1259110810926100E-02            50             3  -0.32008443E+02
  0.3883203045070700E+01   0.1356793895964623E-20  -0.1247300300102530E-02            50             3  -0.29951439E+02
  0.3922423395825914E+01  -0.3200932864225502E-21  -0.1235586146536097E-02            50             3  -0.31525451E+02
  0.3962039872123756E+01   0.3219347223520434E-19  -0.1223967967207047E-02            50             3  -0.28815177E+02
  0.4002056474832206E+01  -0.1803427901603114E-21  -0.1212445368619557E-02            50             3  -0.31702914E+02
  0.4042477245228011E+01   0.1023533054753725E-20  -0.1201017947203791E-02            50             3  -0.29705475E+02
  0.4083306265404814E+01   0.1674504558823897E-21  -0.1189685289710367E-02            50             3  -0.31683211E+02
  0.4124547658685403E+01  -0.2396108882567356E-21  -0.1178446973597205E-02            50             3  -0.31113789E+02
  0.4166205590038126E+01  -0.3084590906090833E-20  -0.1167302567408756E-02            50             3  -0.28768612E+02
  0.4208284266497511E+01  -0.2430683941886481E-19  -0.1156251631147617E-02            50             3  -0.30168640E+02
  0.4250787937589136E+01   0.3387479669531210E-21  -0.1145293716638533E-02            50             3  -0.30794157E+02
  0.4293720895758787E+01  -0.2700276974494158E-19  -0.1134428367884818E-02            50             3  -0.28372595E+02
  0.4337087476805951E+01   0.9890966503656230E-21  -0.1123655121417209E-02            50             3  -0.29011942E+02
  0.4380892060321691E+01   0.3539183279259891E-21  -0.1112973506635189E-02            50             3  -0.30186478E+02
  0.4425139070130940E+01  -0.7705962110111362E-19  -0.1102383046140826E-02            50             3  -0.27900575E+02
  0.4469832974739262E+01  -0.4536075345065270E-20  -0.1091883256065157E-02            50             3  -0.28260276E+02
  0.4514978287784128E+01   0.2032283728535248E-19  -0.1081473646387182E-02            50             3  -0.28307872E+02
  0.4560579568490748E+01  -0.3096656128075402E-20  -0.1071153721245519E-02            50             3  -0.28196244E+02
  0.4606641422132504E+01   0.3227979858461642E-18  -0.1060922979242774E-02            50             3  -0.27027837E+02
  0.4653168500496042E+01   0.4032597805459988E-26  -0.1050780913742705E-02            50             3  -0.28294407E+02
  0.4700165502351052E+01  -0.2948737578177833E-20  -0.1040727013160242E-02            50             3  -0.28101084E+02
  0.4747637173924797E+01   0.1552286963684421E-20  -0.1030760761244427E-02            50             3  -0.28194307E+02
  0.4795588309381438E+01   0.8666272054697533E-19  -0.1020881637354374E-02            50             3  -0.28401745E+02
  0.4844023751306191E+01  -0.8198749705367219E-22  -0.1011089116728306E-02            50             3  -0.29477077E+02
  0.4892948391194383E+01  -0.1410720228112090E-19  -0.1001382670745773E-02            50             3  -0.28471761E+02
  0.4942367169945446E+01   0.1904162055010615E-18  -0.9917617671831155E-03            50             3  -0.27285909E+02
  0.4992285078361896E+01   0.1199655578048868E-18  -0.9822258704622862E-03            50             3  -0.27454150E+02
  0.5042707157653351E+01   0.1514991800364141E-20  -0.9727744418931001E-03            50             3  -0.28342868E+02
