 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.1711580768260790E+01   0.0000000000000000E+00   0.3221644725215070E+00           200             3  -0.12000000E+03
 -0.1728696575943398E+01   0.3256998398561052E-16   0.3286391685601626E+00           200             3  -0.35219062E+02
 -0.1745983541702832E+01  -0.2733302658940019E-18   0.3351341789692870E+00           200             3  -0.36470818E+02
 -0.1763443377119860E+01   0.4393854196574765E-18   0.3416496070648619E+00           200             3  -0.36468110E+02
 -0.1781077810891059E+01  -0.5335612304222087E-18   0.3481855567607051E+00           200             3  -0.35772612E+02
 -0.1798888588999969E+01   0.1445245227302630E-16   0.3547421325718687E+00           200             3  -0.35698548E+02
 -0.1816877474889969E+01   0.4105128326640278E-18   0.3613194396180542E+00           200             3  -0.35767566E+02
 -0.1835046249638868E+01   0.0000000000000000E+00   0.3679175836270431E+00           200             3  -0.12000000E+03
 -0.1853396712135257E+01   0.3151366024717983E-18   0.3745366709381422E+00           200             3  -0.35762477E+02
 -0.1871930679256610E+01   0.3145634019901194E-18   0.3811768085056463E+00           200             3  -0.36452953E+02
 -0.1890649986049176E+01   0.0000000000000000E+00   0.3878381039023148E+00           200             3  -0.12000000E+03
 -0.1909556485909668E+01   0.1718143407666333E-17   0.3945206653228667E+00           200             3  -0.35348874E+02
 -0.1928652050768764E+01  -0.5519534102742461E-18   0.4012246015874883E+00           200             3  -0.35752106E+02
 -0.1947938571276452E+01  -0.1214940395875331E-16   0.4079500221453599E+00           200             3  -0.35322173E+02
 -0.1967417956989217E+01   0.1517760166603257E-17   0.4146970370781959E+00           200             3  -0.35746241E+02
 -0.1987092136559109E+01  -0.3520575145560372E-18   0.4214657571038020E+00           200             3  -0.36437401E+02
 -0.2006963057924700E+01   0.5933242692884338E-18   0.4282562935796483E+00           200             3  -0.36434487E+02
 -0.2027032688503947E+01  -0.1178574801495667E-18   0.4350687585064587E+00           200             3  -0.36432326E+02
 -0.2047303015388986E+01   0.5651903155601688E-24   0.4419032645318150E+00           200             3  -0.36429724E+02
 -0.2067776045542876E+01   0.1053449948479312E-16   0.4487599249537784E+00           200             3  -0.36298442E+02
 -0.2088453805998305E+01   0.7233327446806050E-18   0.4556388537245264E+00           200             3  -0.35325775E+02
 -0.2109338344058288E+01   0.2447098399778366E-18   0.4625401654540053E+00           200             3  -0.36421746E+02
 -0.2130431727498871E+01  -0.2389470586431304-307   0.4694639754136006E+00           200             3  -0.70618107E+03
 -0.2151736044773860E+01   0.3603867490673683E-16   0.4764103995398211E+00           200             3  -0.35678038E+02
 -0.2173253405221598E+01   0.1867866172042241E-17   0.4833795544380004E+00           200             3  -0.35314755E+02
 -0.2194985939273814E+01  -0.2949361954354172E-16   0.4903715573860151E+00           200             3  -0.35201011E+02
 -0.2216935798666552E+01   0.1460224769771120E-18   0.4973865263380179E+00           200             3  -0.36408508E+02
 -0.2239105156653218E+01   0.2925549500420894E-18   0.5044245799281877E+00           200             3  -0.35712684E+02
 -0.2261496208219750E+01   0.3051857007186199E-18   0.5114858374744953E+00           200             3  -0.36403057E+02
 -0.2284111170301947E+01  -0.4429537092465163E-17   0.5185704189824865E+00           200             3  -0.34608029E+02
 -0.2306952282004967E+01   0.9368052726687740E-18   0.5256784451490799E+00           200             3  -0.35704365E+02
